,cluster,Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs)
E01000699,6,5
E01000700,6,7
E01000701,6,7
E01000702,1,8
E01000703,1,8
E01000704,7,8
E01000705,6,6
E01000706,6,6
E01000707,7,10
E01000708,7,9
E01000709,6,6
E01000710,1,8
E01000711,1,7
E01000712,1,9
E01000713,1,9
E01000714,7,8
E01000715,7,9
E01000716,7,9
E01000717,1,9
E01000718,3,3
E01000719,3,4
E01000720,3,2
E01000721,4,2
E01000722,5,4
E01000723,1,7
E01000724,3,2
E01000725,3,3
E01000726,6,6
E01000727,6,6
E01000728,6,5
E01000729,4,2
E01000730,4,2
E01000731,3,3
E01000732,6,6
E01000733,6,5
E01000734,1,7
E01000735,3,3
E01000736,6,4
E01000737,3,3
E01000738,6,5
E01000739,4,2
E01000740,3,4
E01000741,3,4
E01000742,3,4
E01000743,3,2
E01000744,4,2
E01000745,1,5
E01000746,1,6
E01000747,2,5
E01000748,1,7
E01000749,1,7
E01000750,3,3
E01000751,7,9
E01000752,7,9
E01000753,1,9
E01000754,1,9
E01000755,1,10
E01000756,7,10
E01000757,1,10
E01000758,7,10
E01000759,1,9
E01000760,1,8
E01000761,1,9
E01000762,1,9
E01000763,7,10
E01000764,1,7
E01000765,7,9
E01000766,7,10
E01000767,7,10
E01000768,1,8
E01000769,8,4
E01000770,7,9
E01000771,7,10
E01000772,7,10
E01000773,7,9
E01000774,7,8
E01000775,1,9
E01000777,1,9
E01000778,1,7
E01000779,8,6
E01000780,5,4
E01000781,4,2
E01000782,9,1
E01000783,3,3
E01000784,7,8
E01000785,3,3
E01000786,1,8
E01000787,6,4
E01000788,8,4
E01000789,4,2
E01000790,1,7
E01000791,7,8
E01000792,6,5
E01000793,7,10
E01000794,7,10
E01000795,6,6
E01000796,3,3
E01000797,1,7
E01000798,4,2
E01000799,8,5
E01000800,3,3
E01000801,6,5
E01000802,8,5
E01000803,6,6
E01000804,7,9
E01000805,8,4
E01000806,3,4
E01000807,7,9
E01000808,7,9
E01000809,7,10
E01000810,7,10
E01000811,7,10
E01000812,7,8
E01000813,7,10
E01000814,7,10
E01000815,7,10
E01000816,1,7
E01000818,1,7
E01000819,3,4
E01000820,5,5
E01000822,6,7
E01000823,1,7
E01000824,6,6
E01000825,6,6
E01000826,1,10
E01000827,7,10
E01000828,1,8
E01000829,7,9
E01000830,7,10
E01000831,1,9
E01000832,1,9
E01000833,7,10
E01000834,7,10
E01000835,7,9
E01000836,1,10
E01000837,7,8
E01000838,7,10
E01000839,7,10
E01000840,1,8
E01000841,7,10
E01000842,7,9
E01000843,8,7
E01000844,7,8
E01000845,7,7
E01000846,5,4
E01000847,6,6
E01000848,7,9
E01000849,7,9
E01000850,2,6
E01000851,2,6
E01000852,2,6
E01000853,3,3
E01000854,8,6
E01000855,2,6
E01000856,3,3
E01000857,6,6
E01000858,4,2
E01000859,7,9
E01000860,8,5
E01000861,8,2
E01000862,7,8
E01000863,3,2
E01000864,8,5
E01000865,8,7
E01000866,8,4
E01000867,3,3
E01000868,3,2
E01000869,8,4
E01000870,3,3
E01000871,6,7
E01000872,8,4
E01000873,7,9
E01000874,7,10
E01000875,8,4
E01000876,3,3
E01000877,7,8
E01000878,7,10
E01000879,7,10
E01000880,7,9
E01000881,6,7
E01000882,7,10
E01000883,7,8
E01000884,7,10
E01000885,7,9
E01000886,7,8
E01000887,6,7
E01000888,6,6
E01000889,4,3
E01000890,9,2
E01000891,4,2
E01000892,6,6
E01000893,7,10
E01000894,7,9
E01000895,7,9
E01000896,7,10
E01000897,7,10
E01000898,6,7
E01000899,7,9
E01000900,5,4
E01000901,3,3
E01000902,4,2
E01000903,8,5
E01000904,3,4
E01000905,4,2
E01000906,7,8
E01000907,4,2
E01000908,3,3
E01000909,7,7
E01000910,7,8
E01000911,6,6
E01000912,5,4
E01000913,7,8
E01000914,2,7
E01000915,3,4
E01000916,8,5
E01000917,4,2
E01000918,8,5
E01000919,8,4
E01000920,8,6
E01000921,8,6
E01000922,8,4
E01000923,8,5
E01000924,8,7
E01000925,3,3
E01000926,6,6
E01000927,8,6
E01000928,8,5
E01000929,5,4
E01000930,3,3
E01000931,3,2
E01000932,6,5
E01000933,8,4
E01000934,4,2
E01000935,3,3
E01000936,8,5
E01000937,1,6
E01000938,8,2
E01000939,4,2
E01000940,8,5
E01000941,4,2
E01000942,2,6
E01000943,8,5
E01000944,5,4
E01000945,5,3
E01000946,6,6
E01000947,8,4
E01000948,8,3
E01000949,6,5
E01000950,4,2
E01000951,4,2
E01000952,3,2
E01000953,4,2
E01000954,4,2
E01000955,4,3
E01000956,3,2
E01000957,3,4
E01000958,5,4
E01000959,4,2
E01000960,6,6
E01000961,5,4
E01000962,7,9
E01000963,7,8
E01000964,6,5
E01000965,6,6
E01000966,7,9
E01000967,7,8
E01000968,6,6
E01000969,7,9
E01000970,7,8
E01000971,7,9
E01000972,3,3
E01000973,8,5
E01000974,3,4
E01000975,8,5
E01000976,8,4
E01000977,3,3
E01000978,2,5
E01000979,2,6
E01000980,5,4
E01000981,6,7
E01000982,6,5
E01000983,1,7
E01000984,3,3
E01000985,7,8
E01000986,1,7
E01000987,7,8
E01000989,1,7
E01000990,4,2
E01000991,1,8
E01000992,3,3
E01000993,7,7
E01000994,6,5
E01000995,8,5
E01000996,8,5
E01000997,6,4
E01000998,3,3
E01000999,8,4
E01001000,8,3
E01001001,3,2
E01001002,8,4
E01001003,3,4
E01001004,3,3
E01001005,8,4
E01001006,3,3
E01001007,6,5
E01001008,3,3
E01001009,3,4
E01001010,3,2
E01001011,3,3
E01001012,3,2
E01001013,3,1
E01001014,3,3
E01001015,3,4
E01001016,1,6
E01001017,1,9
E01001018,7,9
E01001019,7,10
E01001020,7,9
E01001021,3,2
E01001022,1,8
E01001023,3,4
E01001024,7,8
E01001025,7,9
E01001026,6,7
E01001027,1,8
E01001028,7,9
E01001029,1,6
E01001030,1,9
E01001031,7,9
E01001032,7,10
E01001033,2,6
E01001034,1,6
E01001035,6,5
E01001036,1,7
E01001037,8,5
E01001038,1,5
E01001039,1,8
E01001040,6,6
E01001041,8,5
E01001042,3,2
E01001043,3,3
E01001044,1,8
E01001045,3,2
E01001046,1,8
E01001047,8,4
E01001048,3,3
E01001049,1,7
E01001050,8,4
E01001051,4,2
E01001052,4,2
E01001053,3,3
E01001054,4,2
E01001055,4,2
E01001056,4,2
E01001057,4,2
E01001058,1,7
E01001059,1,6
E01001060,6,5
E01001061,3,4
E01001062,7,8
E01001063,7,9
E01001064,1,7
E01001065,1,6
E01001066,3,2
E01001067,1,9
E01001068,1,6
E01001069,1,8
E01001070,6,6
E01001071,1,7
E01001072,1,9
E01001073,1,6
E01001074,2,5
E01001075,1,7
E01001076,4,2
E01001077,6,5
E01001078,3,2
E01001079,3,2
E01001080,9,1
E01001081,3,2
E01001082,3,3
E01001083,1,7
E01001084,1,7
E01001085,8,5
E01001086,1,6
E01001087,2,4
E01001088,6,6
E01001089,3,3
E01001090,2,4
E01001091,1,6
E01001092,1,5
E01001093,1,7
E01001094,1,9
E01001095,6,6
E01001096,1,9
E01001097,8,4
E01001098,1,9
E01001099,6,5
E01001100,1,8
E01001101,7,10
E01001102,7,9
E01001103,7,9
E01001104,7,10
E01001105,6,5
E01001106,6,7
E01001107,1,9
E01001108,1,10
E01001109,3,3
E01001110,3,2
E01001111,8,3
E01001112,3,3
E01001113,3,3
E01001114,3,2
E01001115,3,1
E01001116,3,3
E01001117,3,3
E01001118,3,2
E01001119,1,8
E01001120,7,8
E01001121,1,9
E01001122,1,8
E01001123,1,8
E01001124,1,10
E01001125,6,7
E01001126,7,9
E01001127,7,8
E01001128,3,2
E01001129,7,10
E01001130,3,2
E01001131,1,7
E01001132,7,8
E01001133,7,7
E01001134,1,8
E01001135,7,9
E01001136,3,3
E01001137,8,4
E01001138,6,5
E01001139,8,5
E01001140,8,4
E01001141,3,3
E01001142,8,5
E01001143,3,3
E01001144,3,2
E01001145,3,2
E01001146,8,5
E01001147,3,2
E01001148,8,4
E01001149,6,6
E01001150,8,5
E01001151,3,2
E01001152,3,2
E01001153,8,4
E01001154,3,3
E01001155,3,2
E01001156,3,4
E01001157,8,5
E01001158,6,5
E01001159,1,6
E01001160,6,7
E01001161,4,2
E01001162,3,3
E01001163,8,6
E01001164,8,5
E01001165,8,4
E01001166,3,3
E01001167,8,4
E01001168,8,5
E01001169,3,3
E01001170,8,3
E01001171,3,4
E01001172,4,2
E01001173,6,5
E01001174,8,4
E01001175,3,3
E01001176,8,4
E01001177,3,3
E01001178,9,1
E01001179,8,5
E01001180,8,3
E01001181,3,2
E01001182,8,4
E01001183,3,4
E01001184,6,6
E01001185,6,5
E01001186,3,3
E01001187,8,5
E01001188,3,3
E01001189,6,5
E01001190,3,3
E01001191,3,2
E01001192,3,3
E01001193,3,2
E01001194,8,5
E01001195,1,7
E01001196,3,2
E01001197,8,4
E01001198,1,6
E01001199,3,4
E01001200,1,6
E01001201,8,6
E01001202,3,2
E01001203,3,3
E01001204,6,7
E01001205,3,3
E01001206,3,2
E01001207,8,6
E01001208,7,7
E01001209,7,9
E01001210,9,1
E01001211,1,8
E01001212,6,7
E01001213,3,3
E01001214,6,6
E01001215,3,3
E01001216,2,4
E01001217,6,6
E01001218,3,2
E01001219,3,2
E01001220,3,1
E01001221,8,4
E01001222,2,4
E01001223,1,7
E01001224,1,8
E01001225,8,4
E01001226,1,7
E01001227,1,8
E01001228,1,7
E01001229,3,3
E01001230,8,5
E01001231,2,7
E01001232,3,4
E01001233,3,4
E01001234,2,4
E01001235,1,7
E01001236,1,6
E01001237,2,6
E01001238,2,4
E01001239,3,3
E01001240,2,5
E01001241,8,4
E01001242,3,3
E01001243,3,4
E01001244,3,3
E01001245,1,6
E01001246,3,3
E01001247,2,5
E01001248,6,6
E01001249,3,2
E01001250,3,2
E01001251,8,5
E01001252,3,4
E01001253,6,6
E01001254,1,6
E01001255,1,7
E01001257,3,2
E01001258,6,6
E01001259,8,5
E01001260,8,5
E01001261,2,4
E01001262,3,3
E01001263,3,2
E01001264,3,4
E01001265,2,5
E01001266,1,6
E01001267,3,3
E01001268,6,5
E01001269,1,7
E01001270,1,6
E01001271,6,6
E01001272,2,5
E01001273,1,8
E01001274,1,9
E01001275,2,5
E01001276,2,5
E01001277,2,6
E01001278,2,4
E01001279,7,9
E01001280,1,7
E01001281,7,9
