,cluster,Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs)
E01015265,5,4
E01015266,9,1
E01015267,9,1
E01015268,5,4
E01015269,5,4
E01015270,3,3
E01015271,1,8
E01015272,7,8
E01015273,4,2
E01015274,8,5
E01015275,8,4
E01015276,5,4
E01015277,4,2
E01015279,4,1
E01015280,4,2
E01015281,9,1
E01015282,10,1
E01015283,8,4
E01015285,8,4
E01015286,1,6
E01015287,8,4
E01015288,4,1
E01015289,5,3
E01015290,4,2
E01015291,8,6
E01015292,5,3
E01015293,5,2
E01015294,5,3
E01015295,7,10
E01015296,6,5
E01015297,7,8
E01015298,7,8
E01015299,7,9
E01015300,7,9
E01015301,6,5
E01015302,5,4
E01015303,5,4
E01015304,4,2
E01015305,4,2
E01015306,4,3
E01015307,9,1
E01015308,3,3
E01015309,9,1
E01015310,4,3
E01015311,7,7
E01015312,9,1
E01015313,4,2
E01015314,7,8
E01015315,7,10
E01015316,7,9
E01015317,6,5
E01015318,6,6
E01015319,1,8
E01015320,7,8
E01015321,5,4
E01015322,7,9
E01015323,7,9
E01015324,6,7
E01015325,7,9
E01015326,8,4
E01015327,8,4
E01015328,5,4
E01015329,8,5
E01015330,8,7
E01015331,8,5
E01015332,7,8
E01015333,6,8
E01015334,5,5
E01015335,7,8
E01015336,6,6
E01015337,6,6
E01015338,9,1
E01015339,5,4
E01015340,6,7
E01015341,4,2
E01015342,7,10
E01015343,5,4
E01015344,1,8
E01015345,8,4
E01015346,8,4
E01015348,1,7
E01015349,6,6
E01015350,7,9
E01015351,7,8
E01015352,6,7
E01015353,6,6
E01015354,6,7
E01015355,6,6
E01015356,7,8
E01015357,3,3
E01015358,6,5
E01015359,5,3
E01015360,7,9
E01015361,6,6
E01015362,4,2
E01015363,6,6
E01015364,7,9
E01015365,8,5
E01015366,6,6
E01015367,8,2
E01015368,7,7
E01015369,6,6
E01015370,1,7
E01015371,5,4
E01015372,5,5
E01015373,6,6
E01015374,5,4
E01015375,8,5
E01015376,7,7
E01015377,8,5
E01015378,7,8
E01015379,4,2
E01015380,6,5
E01015381,5,3
E01015382,5,4
E01015383,6,6
E01015384,9,1
E01015385,5,3
E01015386,3,3
E01015387,6,7
E01015388,7,9
E01015389,1,8
E01015390,5,4
E01015391,6,7
E01015392,6,6
E01015393,6,5
E01015394,7,8
E01015395,7,9
E01015396,7,10
E01015397,1,10
E01015398,7,10
E01015399,7,10
E01015400,7,10
E01015401,7,10
E01015402,6,6
E01015403,1,9
E01015404,7,10
E01015405,1,9
E01015406,1,9
E01015407,6,7
E01015408,6,6
E01015409,5,4
E01015410,2,6
E01015411,7,8
E01015412,1,9
E01015413,6,7
E01015414,6,7
E01015415,4,3
E01015416,1,8
E01015417,6,5
E01015418,6,7
E01015419,1,9
E01015420,5,4
E01015421,6,5
E01015422,1,8
E01015423,5,4
E01015424,6,7
E01015425,6,7
E01015426,5,3
E01015427,6,5
E01015428,6,7
E01015429,5,3
E01015430,4,2
E01015431,1,9
E01015432,7,9
E01015433,1,10
E01015434,1,10
E01015435,6,5
E01015436,6,7
E01015437,7,9
E01015438,6,7
E01015439,5,3
E01015440,6,6
E01015441,5,5
E01015442,5,3
E01015443,5,4
E01015444,6,5
E01015445,7,9
E01015446,6,7
E01015447,7,8
E01015448,6,7
E01015449,5,3
E01015450,6,7
E01015451,7,9
E01015452,7,10
E01015453,7,8
E01015454,6,7
E01015455,7,10
E01015456,5,5
E01015457,6,7
E01015458,7,10
E01015459,7,10
E01015460,6,6
E01015461,8,5
E01015462,6,7
E01015463,7,9
E01015464,1,10
E01015465,5,4
E01015466,6,7
E01015468,6,6
E01015471,1,10
E01015472,6,7
E01015473,1,8
E01015474,1,7
E01015475,8,5
E01015476,4,2
E01015477,5,3
E01015478,6,6
E01015479,8,5
E01015480,8,5
E01015481,7,8
E01015482,7,8
E01015483,7,9
E01015484,7,8
E01015485,1,9
E01015486,6,7
E01015487,1,7
E01015488,5,3
E01015489,6,6
E01015490,6,7
E01015491,5,3
E01015492,5,4
E01015493,7,7
E01015494,8,5
E01015496,6,6
E01015497,6,7
E01015498,7,8
E01015499,7,10
E01015500,7,8
E01015501,7,9
E01015502,5,4
E01015503,4,3
E01015504,7,9
E01015505,6,5
E01015506,4,2
E01015507,10,1
E01015508,9,1
E01015509,8,5
E01015510,8,3
E01015511,8,4
E01015512,7,10
E01015513,6,7
E01015514,7,8
E01015515,7,10
E01015516,5,4
E01015517,7,8
E01015518,7,10
E01015519,6,5
E01015520,6,7
E01015521,7,10
E01015522,1,8
E01015523,7,9
E01015524,6,7
E01015525,7,9
E01015526,1,8
E01015527,5,3
E01015528,4,2
E01015529,5,5
E01015530,5,3
E01015532,8,5
E01015533,7,10
E01015534,7,8
E01015535,7,9
E01015536,7,9
E01015537,4,2
E01015538,9,1
E01015539,4,2
E01015540,4,2
E01015541,9,1
E01015542,9,1
E01015543,4,2
E01015544,9,1
E01015545,10,1
E01015546,10,1
E01015547,7,10
E01015548,1,9
E01015549,7,8
E01015550,7,7
E01015551,7,8
E01015552,6,7
E01015553,6,6
E01015554,6,5
E01015555,5,5
E01015556,7,8
E01015557,7,8
E01015558,9,1
E01015559,6,6
E01015560,7,7
E01015561,7,8
E01015562,6,8
E01015563,7,10
E01015564,7,10
E01015565,6,8
E01015566,7,9
E01015567,6,7
E01015568,6,6
E01015569,4,3
E01015570,4,2
E01015571,6,5
E01015572,4,1
E01015573,4,1
E01015574,6,6
E01015575,9,1
E01015576,6,7
E01015578,5,4
E01015579,6,6
E01015580,5,3
E01015581,7,7
E01015582,6,7
E01015583,1,8
E01015584,6,8
E01015585,1,7
E01015586,7,9
E01015587,6,5
E01015588,6,7
E01015589,1,8
E01015590,1,7
E01015591,3,4
E01015592,3,2
E01015593,9,1
E01015594,4,2
E01015595,4,2
E01015596,4,1
E01015597,4,1
E01015598,1,7
E01015599,4,2
E01015600,4,1
E01015601,4,2
E01015602,4,2
E01015603,4,1
E01015604,4,2
E01015605,4,2
E01015606,5,4
E01015607,9,1
E01015608,4,2
E01015609,9,1
E01015610,4,2
E01015611,4,2
E01015612,4,2
E01015613,5,4
E01015614,3,4
E01015615,4,2
E01015616,9,1
E01015617,8,5
E01015618,3,3
E01015619,5,3
E01015620,6,6
E01015621,8,4
E01015622,8,4
E01015623,5,4
E01015624,5,3
E01015626,7,8
E01015627,1,7
E01015628,1,7
E01015629,7,9
E01015630,8,4
E01015631,7,9
E01015632,4,2
E01015633,4,2
E01015634,4,2
E01015635,7,9
E01015636,1,7
E01015637,9,1
E01015638,5,3
E01015639,9,1
E01015640,4,2
E01015641,4,2
E01015642,9,1
E01015643,5,2
E01015644,6,6
E01015645,1,8
E01015646,1,8
E01015647,9,1
E01015648,1,9
E01015650,7,8
E01015651,6,6
E01015652,5,3
E01015653,6,6
E01015654,4,2
E01015655,8,5
E01015656,4,2
E01015657,3,2
E01015658,9,1
E01015659,6,6
E01015660,4,2
E01015661,9,1
E01015662,5,2
E01015663,9,1
E01015664,9,1
E01015665,5,4
E01015666,4,2
E01015667,5,3
E01015668,4,2
E01015669,5,4
E01015670,6,5
E01015671,6,6
E01015672,6,6
E01015673,4,2
E01015674,5,3
E01015675,6,5
E01015676,5,4
E01015677,5,2
E01015678,6,7
E01015679,6,6
E01015680,4,2
E01015681,7,9
E01015682,7,8
E01015683,6,7
E01015684,7,9
E01015685,7,8
E01015686,6,7
E01015687,7,8
E01015688,6,6
E01015689,1,8
E01015690,7,8
E01015691,6,6
E01015692,5,4
E01015693,1,8
E01015694,7,7
E01015695,1,8
E01015696,7,8
E01015697,7,9
E01015698,3,2
E01015699,4,2
E01015700,8,5
E01015701,3,3
E01015702,3,3
E01015703,4,2
E01015704,3,2
E01015705,3,2
E01015706,1,8
E01015707,1,8
E01015708,1,9
E01015709,1,7
E01015710,7,9
E01015711,5,4
E01015712,8,5
E01015713,3,3
E01015714,6,5
E01015715,3,3
E01015716,4,2
E01015717,6,5
E01015718,6,5
E01015719,7,7
E01015720,4,2
E01015721,6,6
E01015722,8,4
E01015723,6,5
E01015724,6,4
E01015725,3,2
E01015726,4,2
E01015727,3,2
E01015728,3,4
E01015729,4,2
E01015730,5,3
E01015731,5,3
E01015732,4,1
E01015733,4,2
E01015734,6,4
E01015735,3,2
E01015736,9,1
E01015737,5,3
E01015738,3,2
E01015739,1,5
E01015740,1,6
E01015741,3,2
E01015742,6,5
E01015743,3,2
E01015744,5,3
E01015745,1,7
E01015746,6,5
E01015747,1,8
E01015748,6,5
E01015749,4,2
E01015750,6,5
E01015751,5,4
E01015752,6,4
E01015753,1,5
E01015754,4,2
E01015755,8,4
E01015756,5,4
E01015757,4,3
E01015758,3,2
E01015759,4,2
E01015760,4,2
E01015761,5,3
E01015762,8,5
E01015763,6,5
E01015764,6,7
E01015765,3,3
E01015766,6,6
E01015767,6,5
E01015768,6,5
E01015769,5,4
E01015770,1,7
E01015771,10,1
E01015772,4,2
E01015773,4,2
E01015774,4,2
E01015775,2,5
E01015776,5,4
E01015777,6,5
E01015778,1,6
E01015779,4,2
E01015780,6,6
E01015781,3,3
E01015782,6,5
E01015783,3,3
E01015784,5,4
E01015785,8,4
E01015786,6,5
E01015787,4,2
E01015788,5,3
E01015789,4,1
E01015790,6,6
E01015791,3,2
E01015792,8,4
E01015793,6,5
E01015794,3,2
E01015795,3,3
E01015796,5,4
E01015797,7,8
E01015798,5,4
E01015799,7,8
E01015800,7,6
E01015801,5,3
E01015802,4,2
E01015803,7,7
E01015804,5,4
E01015805,7,8
E01015806,1,8
E01015807,5,3
E01015808,1,7
E01015809,7,9
E01015810,3,4
E01015811,7,9
E01015812,1,7
E01015813,3,3
E01015814,6,6
E01015815,7,9
E01015816,6,6
E01015817,7,9
E01015818,6,6
E01015819,5,4
E01015820,4,2
E01015821,6,7
E01015822,7,9
E01015823,6,8
E01015824,9,2
E01015825,5,4
E01015826,6,8
E01015827,6,7
E01015828,4,2
E01015829,7,8
E01015830,7,10
E01015831,8,5
E01015832,6,5
E01015833,7,9
E01015834,7,8
E01015835,5,5
E01015836,7,9
E01015837,6,7
E01015838,7,9
E01015839,5,3
E01015840,4,2
E01015841,9,1
E01015842,10,1
E01015843,5,3
E01015844,4,2
E01015845,7,9
E01015846,7,10
E01015847,7,8
E01015848,7,7
E01015849,6,7
E01015850,7,10
E01015851,3,2
E01015852,9,1
E01015853,8,4
E01015854,5,3
E01015855,4,2
E01015856,5,3
E01015857,7,9
E01015858,7,9
E01015859,6,5
E01015860,7,7
E01015861,4,2
E01015862,5,4
E01015863,6,6
E01015864,6,7
E01015865,6,5
E01015866,6,7
E01015867,9,1
E01015868,5,3
E01015869,5,3
E01015870,6,5
E01015871,5,4
E01015872,5,5
E01015873,8,4
E01015874,6,5
E01015875,9,2
E01015876,7,8
E01015877,5,3
E01015878,6,7
E01015879,4,2
E01015880,9,1
E01015881,6,7
E01015882,5,3
E01015883,7,10
E01015884,5,4
E01015885,7,10
E01015886,10,1
E01015887,9,1
E01015888,5,5
E01015889,7,10
E01015890,7,10
E01015891,5,4
E01015892,7,9
E01015893,7,9
E01015894,7,9
E01015895,10,1
E01015896,4,2
E01015897,4,2
E01015898,4,2
E01015899,5,3
E01015900,5,3
E01015901,6,5
E01015902,5,3
E01015903,5,4
E01015904,6,5
E01015905,6,5
E01015906,5,4
E01015907,5,3
E01015908,7,10
E01015909,7,10
E01015910,7,10
E01015911,7,10
E01015912,7,10
E01015913,7,9
E01015914,7,10
E01015915,7,8
E01015916,9,1
E01015917,4,2
E01015918,6,5
E01015919,6,6
E01015920,7,8
E01015921,3,3
E01015922,5,3
E01015923,5,3
E01015924,5,3
E01015925,6,6
E01015926,8,4
E01015927,5,4
E01015928,5,5
E01015929,4,2
E01015930,6,4
E01015931,4,2
E01015932,4,1
E01015933,5,4
E01015934,4,3
E01015935,5,3
E01015936,5,4
E01015937,6,6
E01015938,4,2
E01015939,1,9
E01015941,7,9
E01015942,1,5
E01015943,1,7
E01015944,7,8
E01015945,6,6
E01015946,1,7
E01015947,5,4
E01015948,6,4
E01015949,6,5
E01015950,6,6
E01015951,6,5
E01015952,6,5
E01015953,6,5
E01015954,3,3
E01015955,1,7
E01015956,8,4
E01015957,5,4
E01015958,5,4
E01015959,5,4
E01015960,7,8
E01015961,6,7
E01015962,8,4
E01015963,4,2
E01015964,6,7
E01015965,7,8
E01015966,6,7
E01015967,7,7
E01015968,6,7
E01015969,6,7
E01015970,7,9
E01015971,5,3
E01015972,6,5
E01015973,5,4
E01015974,1,7
E01015975,5,4
E01015976,4,2
E01015977,7,7
E01015978,1,7
E01015979,1,7
E01015980,7,9
E01015982,1,9
E01015983,6,7
E01015984,6,8
E01015985,6,6
E01015986,5,3
E01015987,5,3
E01015988,5,3
E01015989,6,5
E01015990,5,4
E01015991,7,8
E01015992,6,5
E01015993,5,4
E01015994,6,5
E01015995,7,9
E01015996,5,4
E01015997,7,9
E01015998,7,8
E01015999,7,9
E01016000,7,7
E01016001,7,8
E01016002,7,9
E01016003,5,4
E01016004,4,2
E01016005,5,3
E01016006,9,1
E01016007,9,1
E01016008,5,4
E01016009,4,2
E01016010,9,1
E01016011,8,3
E01016012,8,4
E01016013,2,5
E01016014,5,3
E01016015,6,5
E01016016,4,3
E01016017,9,1
E01016018,5,2
E01016019,4,1
E01016020,4,2
E01016021,8,3
E01016022,8,3
E01016023,9,1
E01016024,4,2
E01016025,4,2
E01016026,7,9
E01016027,7,8
E01016028,6,7
E01016029,6,5
E01016030,3,3
E01016031,9,1
E01016032,9,1
E01016033,10,1
E01016034,6,5
E01016035,4,2
E01016036,8,3
E01016037,8,3
E01016038,5,3
E01016039,5,2
E01016040,4,2
E01016041,4,2
E01016042,5,3
E01016043,5,3
E01016044,8,3
E01016045,8,3
E01016046,5,2
E01016047,8,3
E01016048,8,4
E01016049,4,1
E01016050,7,10
E01016051,7,10
E01016052,1,9
E01016053,7,9
E01016054,7,10
E01016055,5,4
E01016056,6,6
E01016057,6,6
E01016058,1,6
E01016059,3,2
E01016060,7,8
E01016061,4,2
E01016062,4,1
E01016063,9,1
E01016064,4,2
E01016065,6,5
E01016066,4,2
E01016067,5,3
E01016068,4,2
E01016069,9,1
E01016070,5,3
E01016071,5,3
E01016072,5,3
E01016073,7,9
E01016074,5,4
E01016075,6,5
E01016076,6,7
E01016077,5,4
E01016078,6,6
E01016079,6,7
E01016080,6,6
E01016081,7,9
E01016082,7,8
E01016083,9,1
E01016084,5,3
E01016085,7,10
E01016086,7,9
E01016087,7,7
E01016088,5,5
E01016089,6,7
E01016090,7,9
E01016091,7,9
E01016092,7,9
E01016093,1,7
E01016094,7,7
E01016095,7,8
E01016096,7,8
E01016097,5,4
E01016098,5,3
E01016099,6,8
E01016100,5,4
E01016101,7,8
E01016102,4,2
E01016103,7,7
E01016104,7,9
E01016105,7,8
E01016106,7,8
E01016107,7,9
E01016110,8,2
E01016111,10,1
E01016112,1,9
E01016113,8,6
E01016114,5,3
E01016115,5,4
E01016116,5,4
E01016117,4,2
E01016118,8,4
E01016119,7,7
E01016120,5,4
E01016121,7,8
E01016122,7,8
E01016123,6,7
E01016124,6,6
E01016125,8,5
E01016126,7,8
E01016127,8,5
E01016128,5,3
E01016129,3,3
E01016130,8,5
E01016131,7,7
E01016132,7,8
E01016133,7,9
E01016134,6,6
E01016135,8,5
E01016136,5,2
E01016137,8,4
E01016138,1,8
E01016139,7,7
E01016140,4,2
E01016141,8,4
E01016142,6,6
E01016143,3,4
E01016144,7,8
E01016145,7,9
E01016146,5,3
E01016147,7,9
E01016148,7,8
E01016149,6,5
E01016150,4,2
E01016151,8,4
E01016152,4,2
E01016153,9,1
E01016154,8,3
E01016155,5,3
E01016156,6,5
E01016157,5,4
E01016158,6,5
E01016159,9,2
E01016160,4,2
E01016161,9,1
E01016162,6,7
E01016163,5,4
E01016164,5,3
E01016165,6,5
E01016166,6,6
E01016167,6,6
E01016168,5,4
E01016169,7,8
E01016170,6,7
E01016171,4,3
E01016172,7,9
E01016173,4,3
E01016174,8,4
E01016175,7,8
E01016176,1,9
E01016177,8,4
E01016178,8,5
E01016179,6,7
E01016180,1,8
E01016181,1,9
E01016182,7,10
E01016183,7,10
E01016184,1,10
E01016185,7,10
E01016186,1,8
E01016187,7,10
E01016188,1,10
E01016190,1,8
E01016191,6,7
E01016192,7,8
E01016193,7,9
E01016194,7,10
E01016195,1,8
E01016196,1,10
E01016197,6,7
E01016198,7,10
E01016199,1,10
E01016200,7,10
E01016201,7,10
E01016202,1,9
E01016203,5,5
E01016204,6,6
E01016205,6,7
E01016206,7,10
E01016207,5,4
E01016208,7,10
E01016209,6,7
E01016210,6,5
E01016212,6,6
E01016213,1,7
E01016214,7,10
E01016215,6,5
E01016216,6,7
E01016217,6,7
E01016218,6,6
E01016219,7,9
E01016220,6,7
E01016221,7,8
E01016222,1,10
E01016223,6,6
E01016224,6,6
E01016225,1,7
E01016226,6,5
E01016227,1,10
E01016228,7,10
E01016229,7,10
E01016230,1,10
E01016231,6,6
E01016232,7,8
E01016233,5,5
E01016234,1,9
E01016235,1,10
E01016236,6,7
E01016237,1,10
E01016238,7,9
E01016239,6,7
E01016240,6,5
E01016241,6,5
E01016242,5,5
E01016243,1,10
E01016245,1,10
E01016246,7,10
E01016247,1,9
E01016248,6,7
E01016249,5,3
E01016250,1,8
E01016252,1,8
E01016253,1,10
E01016254,2,5
E01016255,1,8
E01016256,1,9
E01016257,1,10
E01016258,7,9
E01016259,7,10
E01016260,7,10
E01016261,7,10
E01016262,7,10
E01016263,1,9
E01016264,2,7
E01016265,1,8
E01016266,1,9
E01016267,7,10
E01016268,6,6
E01016269,1,9
E01016270,7,10
E01016271,6,4
E01016272,1,9
E01016273,5,4
E01016274,1,8
E01016275,1,7
E01016276,7,9
E01016277,1,7
E01016278,1,9
E01016279,6,6
E01016280,6,6
E01016281,7,9
E01016282,7,10
E01016283,1,9
E01016284,7,10
E01016285,2,7
E01016286,7,9
E01016287,2,6
E01016288,2,7
E01016289,1,10
E01016290,1,10
E01016291,7,10
E01016292,7,9
E01016293,1,7
E01016294,7,10
E01016295,4,2
E01016296,7,8
E01016297,6,6
E01016298,1,8
E01016299,7,9
E01016300,7,8
E01016301,2,6
E01016302,1,8
E01016303,7,8
E01016304,1,6
E01016305,1,7
E01016306,6,6
E01016307,6,7
E01016308,7,9
E01016309,1,7
E01016310,6,7
E01016311,7,10
E01016312,6,7
E01016313,7,9
E01016314,7,9
E01016315,7,10
E01016316,7,10
E01016317,6,7
E01016318,7,10
E01016319,7,8
E01016320,7,8
E01016321,6,7
E01016322,7,10
E01016323,7,9
E01016324,1,9
E01016325,6,6
E01016326,1,8
E01016327,1,7
E01016328,1,7
E01016329,7,10
E01016330,7,9
E01016331,6,7
E01016332,6,7
E01016333,7,10
E01016334,7,8
E01016335,7,10
E01016336,5,3
E01016337,6,8
E01016338,7,10
E01016339,6,8
E01016340,6,7
E01016341,6,8
E01016342,7,9
E01016343,7,10
E01016344,6,8
E01016345,7,9
E01016346,6,5
E01016347,6,6
E01016348,6,7
E01016349,7,10
E01016350,7,10
E01016353,5,3
E01016355,7,7
E01016356,8,4
E01016357,8,5
E01016358,8,3
E01016359,6,5
E01016360,8,4
E01016361,8,4
E01016362,8,6
E01016363,3,3
E01016364,7,10
E01016365,7,8
E01016366,6,7
E01016367,6,4
E01016368,9,1
E01016369,6,4
E01016370,1,8
E01016371,6,5
E01016372,4,1
E01016373,3,3
E01016374,8,6
E01016375,3,3
E01016376,8,5
E01016377,5,3
E01016378,8,5
E01016379,8,6
E01016380,7,8
E01016381,5,3
E01016382,5,3
E01016383,6,7
E01016384,7,10
E01016385,1,6
E01016386,1,10
E01016387,7,10
E01016388,6,6
E01016389,5,3
E01016390,8,5
E01016391,5,3
E01016392,8,5
E01016393,6,6
E01016394,9,1
E01016395,8,4
E01016396,5,2
E01016397,4,2
E01016398,6,5
E01016399,1,7
E01016400,5,4
E01016401,1,7
E01016402,1,7
E01016403,7,9
E01016404,8,5
E01016405,8,5
E01016406,2,5
E01016407,7,9
E01016408,1,7
E01016409,6,7
E01016410,7,10
E01016411,1,10
E01016412,7,9
E01016413,1,9
E01016414,1,9
E01016415,4,2
E01016416,2,6
E01016417,1,7
E01016418,7,8
E01016419,6,5
E01016420,9,1
E01016421,6,4
E01016422,3,3
E01016423,5,3
E01016424,7,10
E01016425,7,10
E01016426,7,10
E01016427,7,10
E01016428,7,9
E01016429,7,10
E01016430,7,10
E01016431,7,8
E01016432,7,8
E01016433,6,6
E01016434,6,5
E01016435,5,4
E01016436,5,4
E01016437,5,4
E01016438,4,2
E01016439,5,4
E01016440,5,3
E01016441,9,1
E01016442,5,3
E01016443,4,2
E01016444,5,3
E01016445,3,3
E01016446,3,4
E01016447,8,4
E01016448,8,4
E01016449,5,3
E01016450,3,2
E01016451,4,2
E01016452,5,3
E01016453,3,4
E01016454,5,3
E01016455,8,4
E01016456,3,3
E01016457,1,5
E01016458,3,2
E01016459,8,4
E01016460,8,5
E01016461,2,4
E01016462,3,4
E01016463,3,2
E01016464,3,2
E01016465,2,3
E01016467,6,6
E01016468,1,7
E01016469,6,6
E01016470,1,7
E01016471,6,6
E01016472,6,6
E01016473,1,7
E01016474,5,4
E01016475,3,4
E01016476,6,5
E01016477,1,6
E01016478,1,6
E01016479,2,4
E01016480,3,2
E01016481,8,4
E01016482,2,6
E01016483,6,5
E01016484,8,4
E01016485,6,4
E01016486,3,3
E01016487,6,5
E01016488,6,5
E01016490,3,3
E01016491,1,7
E01016492,1,5
E01016493,1,7
E01016494,2,5
E01016495,1,7
E01016496,6,5
E01016497,1,7
E01016498,3,4
E01016499,3,3
E01016500,1,5
E01016501,3,3
E01016502,6,6
E01016503,6,4
E01016504,1,6
E01016505,3,3
E01016506,1,6
E01016507,1,6
E01016508,1,8
E01016509,7,7
E01016510,1,8
E01016511,3,3
E01016512,8,4
E01016513,1,8
E01016514,8,4
E01016515,1,8
E01016516,6,4
E01016517,5,4
E01016518,3,4
E01016519,2,4
E01016520,3,2
E01016521,3,4
E01016522,1,10
E01016523,1,10
E01016524,7,10
E01016525,7,10
E01016526,7,10
E01016527,7,10
E01016528,7,10
E01016529,5,4
E01016530,6,6
E01016531,1,9
E01016532,7,10
E01016533,7,10
E01016534,7,10
E01016535,7,10
E01016536,6,6
E01016537,7,8
E01016538,7,10
E01016539,1,10
E01016540,1,9
E01016541,1,10
E01016542,7,9
E01016543,1,9
E01016544,7,9
E01016545,7,8
E01016546,7,10
E01016547,7,9
E01016548,7,10
E01016549,7,8
E01016550,7,10
E01016551,7,10
E01016552,7,10
E01016553,7,10
E01016554,6,5
E01016555,5,3
E01016556,6,6
E01016557,7,8
E01016558,7,8
E01016559,7,10
E01016560,5,5
E01016561,7,10
E01016562,7,10
E01016563,7,10
E01016564,8,6
E01016565,7,10
E01016566,6,5
E01016567,1,8
E01016568,6,8
E01016569,6,7
E01016570,1,10
E01016571,7,10
E01016572,7,9
E01016573,5,5
E01016574,6,7
E01016575,1,10
E01016576,7,8
E01016577,1,5
E01016578,2,7
E01016579,1,7
E01016580,5,5
E01016581,2,7
E01016582,7,8
E01016583,7,10
E01016584,6,8
E01016585,7,10
E01016586,1,10
E01016587,7,10
E01016588,1,7
E01016589,7,10
E01016591,7,10
E01016592,7,9
E01016593,5,4
E01016594,6,5
E01016595,7,9
E01016596,7,10
E01016597,1,10
E01016598,7,10
E01016599,5,5
E01016600,1,9
E01016601,7,10
E01016602,7,10
E01016603,7,10
E01016604,7,10
E01016605,7,10
E01016606,7,10
E01016607,7,10
E01016608,7,10
E01016609,6,8
E01016610,1,9
E01016611,1,9
E01016612,1,10
E01016613,1,7
E01016614,1,8
E01016615,6,5
E01016616,6,8
E01016617,7,10
E01016618,7,10
E01016619,1,10
E01016620,1,9
E01016621,7,10
E01016622,7,10
E01016623,7,10
E01016624,7,10
E01016625,7,10
E01016626,7,9
E01016627,7,10
E01016628,7,10
E01016629,7,10
E01016630,7,10
E01016631,7,9
E01016632,1,10
E01016633,7,10
E01016634,1,9
E01016635,7,10
E01016636,7,10
E01016637,1,10
E01016638,7,10
E01016639,1,10
E01016640,7,10
E01016641,1,9
E01016642,5,4
E01016643,7,10
E01016644,7,10
E01016645,1,10
E01016646,1,10
E01016647,1,9
E01016648,1,10
E01016649,7,10
E01016651,7,10
E01016652,1,10
E01016653,1,10
E01016654,7,10
E01016655,7,10
E01016656,1,8
E01016657,7,10
E01016658,7,10
E01016659,7,10
E01016660,7,10
E01016661,7,10
E01016662,5,4
E01016663,7,10
E01016664,7,10
E01016665,7,10
E01016666,7,10
E01016668,7,10
E01016669,7,10
E01016670,7,10
E01016671,7,10
E01016672,7,10
E01016673,5,4
E01016674,7,9
E01016675,1,8
E01016676,7,10
E01016677,7,9
E01016678,7,9
E01016679,1,8
E01016680,6,7
E01016682,1,9
E01016683,1,9
E01016684,7,10
E01016685,1,10
E01016686,1,8
E01016687,7,10
E01016688,1,9
E01016689,7,10
E01016690,1,8
E01016691,1,9
E01016692,7,10
E01016693,7,10
E01016694,7,10
E01016695,7,10
E01016696,7,9
E01016699,7,10
E01016700,7,10
E01016701,7,10
E01016702,7,10
E01016703,1,8
E01016704,6,6
E01016705,3,4
E01016706,7,10
E01016707,7,10
E01016708,1,10
E01016709,7,10
E01016710,5,4
E01016711,6,8
E01016713,7,8
E01016714,3,3
E01016715,5,4
E01016716,5,4
E01016717,5,4
E01016718,3,2
E01016719,6,6
E01016720,5,3
E01016721,6,5
E01016722,7,8
E01016723,7,8
E01016724,5,4
E01016725,3,3
E01016726,3,3
E01016727,5,4
E01016728,1,7
E01016729,3,3
E01016731,6,5
E01016732,6,6
E01016733,6,4
E01016734,1,6
E01016735,1,8
E01016736,7,10
E01016737,6,6
E01016738,5,3
E01016739,6,7
E01016740,6,7
E01016741,5,3
E01016742,10,1
E01016743,3,2
E01016744,3,1
E01016745,6,6
E01016746,5,3
E01016748,7,8
E01016750,7,9
E01016751,1,8
E01016752,1,7
E01016753,1,6
E01016754,6,6
E01016755,1,8
E01016756,6,5
E01016757,1,7
E01016758,7,8
E01016759,6,8
E01016760,1,8
E01016761,7,10
E01016762,5,4
E01016763,6,7
E01016764,6,7
E01016765,5,4
E01016766,6,5
E01016767,7,10
E01016768,6,5
E01016769,1,8
E01016770,1,7
E01016771,6,5
E01016772,5,4
E01016773,1,8
E01016774,1,9
E01016775,1,7
E01016776,7,10
E01016777,6,7
E01016778,1,7
E01016780,1,8
E01016781,7,10
E01016783,1,8
E01016784,3,4
E01016786,7,8
E01016787,6,5
E01016788,1,9
E01016789,1,7
E01016790,1,9
E01016791,7,9
E01016792,7,10
E01016793,7,9
E01016794,7,9
E01016795,7,8
E01016796,7,10
E01016797,1,8
E01016798,7,10
E01016799,1,8
E01016800,1,9
E01016801,1,8
E01016802,2,6
E01016803,2,5
E01016804,3,3
E01016805,1,8
E01016806,4,2
E01016807,6,5
E01016808,7,9
E01016809,6,5
E01016810,4,2
E01016811,4,1
E01016812,6,6
E01016813,2,6
E01016814,1,7
E01016815,6,8
E01016816,7,10
E01016817,6,6
E01016818,6,8
E01016819,3,2
E01016820,6,7
E01016821,1,7
E01016822,6,4
E01016823,1,7
E01016824,6,6
E01016825,6,7
E01016826,7,10
E01016827,1,6
E01016828,1,9
E01016829,5,4
E01016830,1,8
E01016831,6,7
E01016832,6,5
E01016833,1,9
E01016834,5,3
E01016835,4,2
E01016836,7,7
E01016837,8,6
E01016838,6,6
E01016839,4,2
E01016840,1,8
E01016841,6,5
E01016842,9,1
E01016843,9,1
E01016844,10,1
E01016845,9,1
E01016846,5,4
E01016847,9,1
E01016848,4,2
E01016849,2,6
E01016850,1,6
E01016851,1,7
