"","x"
"E01000973",5
"E01000974",4
"E01000975",5
"E01000976",4
"E01000977",4
"E01000978",3
"E01000979",3
"E01000980",5
"E01000981",5
"E01000982",5
"E01000983",5
"E01000984",4
"E01000985",2
"E01000986",2
"E01000987",5
"E01000989",2
"E01000990",4
"E01000991",2
"E01000992",4
"E01000993",2
"E01000994",2
"E01000995",4
"E01000996",5
"E01000997",4
"E01000998",4
"E01000999",5
"E01001000",4
"E01001001",4
"E01001002",4
"E01001003",4
"E01001004",4
"E01001005",4
"E01001006",4
"E01001007",2
"E01001008",4
"E01001009",4
"E01001010",4
"E01001011",4
"E01001012",4
"E01001013",4
"E01001014",4
"E01001015",4
"E01001016",2
"E01001017",1
"E01001018",2
"E01001019",1
"E01001020",7
"E01001021",4
"E01001022",2
"E01001023",4
"E01001024",7
"E01001025",1
"E01001026",7
"E01001027",2
"E01001028",1
"E01001029",2
"E01001030",2
"E01001031",7
"E01001032",1
"E01001033",3
"E01001034",2
"E01001035",2
"E01001036",2
"E01001037",5
"E01001038",2
"E01001039",2
"E01001040",2
"E01001041",5
"E01001042",4
"E01001043",4
"E01001044",2
"E01001045",4
"E01001046",2
"E01001047",5
"E01001048",4
"E01001049",2
"E01001050",4
"E01001051",8
"E01001052",4
"E01001053",4
"E01001054",4
"E01001055",8
"E01001056",4
"E01001057",8
"E01001058",2
"E01001059",2
"E01001060",2
"E01001061",4
"E01001062",2
"E01001063",7
"E01001064",2
"E01001065",2
"E01001066",4
"E01001067",2
"E01001068",2
"E01001069",2
"E01001070",2
"E01001071",2
"E01001072",2
"E01001073",2
"E01001074",2
"E01001075",2
"E01001076",4
"E01001077",2
"E01001078",4
"E01001079",4
"E01001080",8
"E01001081",4
"E01001082",4
"E01001083",2
"E01001084",2
"E01001085",5
"E01001086",2
"E01001087",4
"E01001088",2
"E01001089",4
"E01001090",4
"E01001091",2
"E01001092",2
"E01001093",2
"E01001094",2
"E01001095",2
"E01001096",2
"E01001097",4
"E01001098",2
"E01001099",2
"E01001100",2
"E01001101",1
"E01001102",7
"E01001103",1
"E01001104",2
"E01001105",2
"E01001106",2
"E01001107",2
"E01001108",1
"E01001109",4
"E01001110",4
"E01001111",4
"E01001112",4
"E01001113",4
"E01001114",4
"E01001115",4
"E01001116",4
"E01001117",4
"E01001118",4
"E01001119",2
"E01001120",7
"E01001121",2
"E01001122",2
"E01001123",2
"E01001124",1
"E01001125",7
"E01001126",1
"E01001127",7
"E01001128",4
"E01001129",1
"E01001130",4
"E01001131",2
"E01001132",2
"E01001133",2
"E01001134",2
"E01001135",2
"E01001136",4
"E01001137",4
"E01001138",2
"E01001139",5
"E01001140",4
"E01001141",4
"E01001142",5
"E01001143",4
"E01001144",4
"E01001145",4
"E01001146",5
"E01001147",4
"E01001148",5
"E01001149",2
"E01001150",4
"E01001151",4
"E01001152",4
"E01001153",4
"E01001154",4
"E01001155",4
"E01001156",4
"E01001157",2
"E01001158",2
"E01001159",2
"E01001160",2
"E01001161",4
"E01001162",4
"E01001163",5
"E01001164",4
"E01001165",4
"E01001166",4
"E01001167",4
"E01001168",5
"E01001169",4
"E01001170",4
"E01001171",4
"E01001172",4
"E01001173",2
"E01001174",4
"E01001175",4
"E01001176",4
"E01001177",4
"E01001178",4
"E01001179",5
"E01001180",4
"E01001181",4
"E01001182",4
"E01001183",4
"E01001184",2
"E01001185",2
"E01001186",4
"E01001187",2
"E01001188",4
"E01001189",2
"E01001190",4
"E01001191",4
"E01001192",4
"E01001193",4
"E01001194",5
"E01001195",2
"E01001196",4
"E01001197",4
"E01001198",2
"E01001199",4
"E01001200",2
"E01001201",2
"E01001202",4
"E01001203",4
"E01001204",2
"E01001205",4
"E01001206",4
"E01001207",5
"E01001208",5
"E01001209",2
"E01001210",4
"E01001211",2
"E01001212",2
"E01001213",4
"E01001214",2
"E01001215",4
"E01001216",4
"E01001217",2
"E01001218",4
"E01001219",4
"E01001220",4
"E01001221",4
"E01001222",3
"E01001223",2
"E01001224",2
"E01001225",5
"E01001226",2
"E01001227",2
"E01001228",2
"E01001229",4
"E01001230",3
"E01001231",3
"E01001232",4
"E01001233",4
"E01001234",5
"E01001235",2
"E01001236",2
"E01001237",2
"E01001238",3
"E01001239",4
"E01001240",4
"E01001241",4
"E01001242",4
"E01001243",4
"E01001244",4
"E01001245",2
"E01001246",4
"E01001247",4
"E01001248",2
"E01001249",4
"E01001250",4
"E01001251",5
"E01001252",4
"E01001253",2
"E01001254",2
"E01001255",5
"E01001257",4
"E01001258",2
"E01001259",5
"E01001260",5
"E01001261",4
"E01001262",4
"E01001263",4
"E01001264",4
"E01001265",3
"E01001266",2
"E01001267",4
"E01001268",2
"E01001269",2
"E01001270",2
"E01001271",2
"E01001272",3
"E01001273",2
"E01001274",2
"E01001275",2
"E01001276",3
"E01001277",3
"E01001278",3
"E01001279",2
"E01001280",3
"E01001281",2
"E01001282",4
"E01001283",4
"E01001284",5
"E01001285",4
"E01001286",4
"E01001287",4
"E01001288",5
"E01001289",3
"E01001290",2
"E01001291",2
"E01001292",2
"E01001293",2
"E01001294",4
"E01001295",2
"E01001296",4
"E01001297",4
"E01001298",4
"E01001299",2
"E01001300",2
"E01001301",5
"E01001302",2
"E01001303",5
"E01001304",2
"E01001305",2
"E01001306",2
"E01001307",2
"E01001308",2
"E01001309",2
"E01001310",2
"E01001311",4
"E01001312",2
"E01001313",2
"E01001314",2
"E01001315",2
"E01001316",4
"E01001317",4
"E01001318",4
"E01001319",2
"E01001320",4
"E01001321",4
"E01001322",4
"E01001323",4
"E01001324",4
"E01001325",4
"E01001326",4
"E01001327",4
"E01001328",4
"E01001329",4
"E01001330",4
"E01001331",4
"E01001332",4
"E01001333",4
"E01001334",4
"E01001335",5
"E01001336",4
"E01001337",4
"E01001338",4
"E01001339",4
"E01001340",4
"E01001341",2
"E01001342",3
"E01001343",2
"E01001344",2
"E01001345",2
"E01001346",2
"E01001347",3
"E01001348",5
"E01001349",4
"E01001350",2
"E01001351",4
"E01001352",5
"E01001353",4
"E01001354",5
"E01001355",4
"E01001356",4
"E01001357",4
"E01001358",4
"E01001359",4
"E01001360",4
"E01001361",4
"E01001362",4
"E01001363",4
"E01001364",4
"E01001365",4
"E01001366",4
"E01001367",4
"E01001368",4
"E01001369",4
"E01001370",4
"E01001371",4
"E01001372",4
"E01001373",4
"E01001374",2
"E01001375",2
"E01001376",4
"E01001377",2
"E01001379",2
"E01001380",2
"E01001381",3
"E01001382",2
"E01001383",2
"E01001384",2
"E01001385",2
"E01001386",2
"E01001387",3
"E01001388",4
"E01001389",5
"E01001390",2
"E01001391",4
"E01001392",3
"E01001393",3
"E01001394",4
"E01001395",4
"E01001396",2
"E01001397",4
"E01001398",2
"E01001399",2
"E01001400",2
"E01001401",2
"E01001402",2
"E01001403",2
"E01001404",2
"E01001405",2
"E01001406",4
"E01001407",2
"E01001408",5
"E01001409",4
"E01001410",4
"E01001411",2
"E01001412",4
"E01001413",2
"E01001414",4
"E01001415",2
"E01001416",1
"E01001417",2
"E01001418",2
"E01001419",2
"E01001420",4
"E01001421",4
"E01001422",1
"E01001423",4
"E01001424",4
"E01001425",4
"E01001426",4
"E01001427",4
"E01001428",4
"E01001429",4
"E01001430",4
"E01001431",4
"E01001432",4
"E01001433",4
"E01001434",4
"E01001435",4
"E01001436",4
"E01001437",4
"E01001438",4
"E01001439",4
"E01001440",4
"E01001441",4
"E01001442",4
"E01001444",4
"E01001445",4
"E01001446",4
"E01001447",4
"E01001448",4
"E01001449",4
"E01001450",4
"E01001451",2
"E01001452",2
"E01001453",1
"E01001454",2
"E01001455",2
"E01001456",1
"E01001457",2
"E01001458",4
"E01001459",4
"E01001460",4
"E01001461",4
"E01001462",4
"E01001463",4
"E01001464",4
"E01001465",4
"E01001466",4
"E01001467",4
"E01001468",4
"E01001469",2
"E01001470",2
"E01001471",2
"E01001472",2
"E01001473",2
"E01001474",2
"E01001475",1
"E01001476",4
"E01001477",4
"E01001478",4
"E01001479",4
"E01001480",4
"E01001481",4
"E01001482",4
"E01001483",4
"E01001484",4
"E01001485",4
"E01001486",4
"E01001487",4
"E01001488",4
"E01001489",4
"E01001491",4
"E01001492",4
"E01001493",4
"E01001494",2
"E01001495",2
"E01001496",2
"E01001497",4
"E01001498",2
"E01001499",4
"E01001500",2
"E01001501",4
"E01001502",4
"E01001503",4
"E01001504",4
"E01001505",4
"E01001506",4
"E01001507",4
"E01001508",4
"E01001509",4
"E01001510",4
"E01001511",5
"E01001512",3
"E01001513",4
"E01001514",2
"E01001515",4
"E01001516",4
"E01001517",8
"E01001518",5
"E01001519",2
"E01001520",2
"E01001521",2
"E01001522",2
"E01001523",2
"E01001524",2
"E01001525",2
"E01001526",2
"E01001527",2
"E01001528",4
"E01001529",4
"E01001530",2
"E01001531",2
"E01001532",2
"E01001533",2
"E01001534",2
"E01001535",2
"E01001536",5
"E01001537",2
"E01001538",2
"E01001539",2
"E01001540",2
"E01001541",2
"E01001542",2
"E01001543",2
"E01001544",2
"E01001545",4
"E01001546",4
